ERROR 2025-11-04 16:17:19,769 user_events Connection error: 
INFO 2025-11-04 17:06:25,983 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:07:12,967 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:07:59,382 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:08:45,961 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:09:32,412 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:10:18,879 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:11:05,497 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:11:51,931 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:12:38,432 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:13:25,501 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:14:11,961 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:14:58,454 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:15:44,926 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:16:31,382 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:17:18,701 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:18:05,149 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:18:51,645 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:19:38,387 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:20:24,894 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:21:11,376 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:21:57,916 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:22:44,394 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:23:30,916 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:24:17,561 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:25:04,564 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:25:51,551 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:26:38,497 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:27:24,988 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:28:11,474 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:28:58,128 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:29:44,722 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:30:31,785 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:31:18,402 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:32:04,905 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:32:51,500 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:33:37,968 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:34:24,702 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:35:11,270 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:35:57,725 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:36:44,316 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:37:30,793 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:38:17,331 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:39:03,808 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:39:50,345 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:40:36,734 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:41:23,294 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:42:09,835 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:42:56,379 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:43:42,835 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:44:29,448 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:45:15,964 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:46:02,436 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:46:48,986 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:47:35,502 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:48:21,942 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:49:08,425 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:49:54,991 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:50:41,456 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:51:28,018 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:52:14,464 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:53:01,510 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:53:48,089 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:54:34,535 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:55:21,618 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:56:08,127 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:56:54,612 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:57:41,443 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:58:27,913 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:59:14,506 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:00:01,070 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:00:47,564 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:01:34,656 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:02:21,529 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:03:08,099 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:03:54,713 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:04:41,463 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:05:28,161 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:06:15,351 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:07:02,551 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:07:49,823 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:08:36,700 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:09:23,551 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:10:10,747 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:10:57,797 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:11:45,243 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:12:31,821 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:13:18,394 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:14:05,020 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:14:51,562 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:15:38,623 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:16:25,689 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 18:17:12,241 django.server "GET /openapi.json HTTP/1.1" 200 3587
